participant,level,obj,x,y,success
6693df690cbd52bc4cbf870d,Mech_SoClose_2,115.0,473.0,obj2,0
6693df690cbd52bc4cbf870d,Mech_SoClose_2,132.0,480.0,obj3,1
6693df690cbd52bc4cbf870d,Mech_SoClose_3,136.0,362.0,obj1,1
6693df690cbd52bc4cbf870d,Mech_SoClose_4,501.0,434.0,obj2,0
6693df690cbd52bc4cbf870d,Mech_SoClose_4,516.0,429.0,obj3,0
6693df690cbd52bc4cbf870d,Mech_SoClose_4,516.0,404.0,obj1,0
6693df690cbd52bc4cbf870d,Playground,247.0,156.0,obj3,0
6693df690cbd52bc4cbf870d,Playground,456.0,84.0,obj3,0
6693df690cbd52bc4cbf870d,Playground,450.0,65.0,obj2,0
6693df690cbd52bc4cbf870d,Playground,68.0,442.0,obj1,0
6693df690cbd52bc4cbf870d,Playground,208.0,156.0,obj3,0
null,Comp_GapCatapult,488.0,577.0,obj2,0
null,Comp_GapCatapult,330.0,574.0,obj2,0
null,Comp_GapCatapult,147.0,412.0,obj2,1
null,Comp_SoCloseLaunch,165.0,297.0,obj3,0
null,Comp_SoCloseLaunch,251.0,265.0,obj2,0
null,Comp_SoCloseLaunch,260.0,275.0,obj3,1
null,Comp_UnboxSlope,401.0,328.0,obj1,0
null,Comp_UnboxSlope,299.0,415.0,obj2,1
null,Mech_Launch_v2_0,78.0,571.0,obj1,1
null,Mech_Launch_v2_1,134.0,568.0,obj3,1
null,Mech_Launch_v2_3,134.0,399.0,obj1,1
null,Mech_Launch_v2_4,479.0,564.0,obj1,1
null,Mech_SoClose_0,51.0,482.0,obj3,1
null,Mech_SoClose_1,472.0,395.0,obj2,1
null,Mech_SoClose_2,149.0,450.0,obj2,0
null,Mech_SoClose_2,158.0,463.0,obj2,0
null,Mech_SoClose_2,148.0,464.0,obj1,1
null,Mech_SoClose_3,168.0,367.0,obj1,1
null,Playground,542.0,216.0,obj1,0
null,Playground,545.0,424.0,obj1,0
null,Playground,539.0,123.0,obj1,0
null,Playground,147.0,557.0,obj3,0
5c532d18b7cf140001d30260,Basic_1,179.0,453.0,obj1,1
5c532d18b7cf140001d30260,Basic_2,403.0,233.0,obj3,1
5c532d18b7cf140001d30260,Comp_GapCatapult,441.0,577.0,obj1,0
5c532d18b7cf140001d30260,Comp_GapCatapult,150.0,392.0,obj3,0
5c532d18b7cf140001d30260,Comp_GapCatapult,476.0,578.0,obj2,0
5c532d18b7cf140001d30260,Comp_SoCloseLaunch,259.0,294.0,obj3,1
5c532d18b7cf140001d30260,Comp_UnboxSlope,305.0,415.0,obj1,0
5c532d18b7cf140001d30260,Comp_UnboxSlope,290.0,412.0,obj1,0
5c532d18b7cf140001d30260,Comp_UnboxSlope,92.0,566.0,obj1,0
5c532d18b7cf140001d30260,Mech_Launch_v2_0,80.0,571.0,obj1,1
5c532d18b7cf140001d30260,Mech_Launch_v2_1,132.0,560.0,obj2,1
5c532d18b7cf140001d30260,Mech_Launch_v2_2,541.0,576.0,obj2,0
5c532d18b7cf140001d30260,Mech_Launch_v2_2,532.0,576.0,obj3,1
5c532d18b7cf140001d30260,Mech_Launch_v2_3,128.0,368.0,obj1,1
5c532d18b7cf140001d30260,Mech_Launch_v2_4,503.0,550.0,obj3,0
5c532d18b7cf140001d30260,Mech_Launch_v2_4,500.0,571.0,obj1,0
5c532d18b7cf140001d30260,Mech_Launch_v2_4,319.0,191.0,obj3,0
5c532d18b7cf140001d30260,Mech_SoClose_0,53.0,488.0,obj3,1
5c532d18b7cf140001d30260,Mech_SoClose_1,464.0,374.0,obj2,1
5c532d18b7cf140001d30260,Mech_SoClose_2,170.0,451.0,obj1,1
5c532d18b7cf140001d30260,Mech_SoClose_3,171.0,348.0,obj1,1
5c532d18b7cf140001d30260,Mech_SoClose_4,467.0,377.0,obj1,1
5c532d18b7cf140001d30260,Playground,506.0,578.0,obj3,0
5c532d18b7cf140001d30260,Playground,521.0,574.0,obj3,0
5c532d18b7cf140001d30260,Playground,490.0,572.0,obj3,0
5c532d18b7cf140001d30260,Playground,437.0,552.0,obj1,0
5d0be24e352d630017a643be,Basic_1,529.6,97.4,obj1,0
5d0be24e352d630017a643be,Basic_1,178.6,189.4,obj1,1
5d0be24e352d630017a643be,Basic_2,401.6,233.4,obj3,1
5d0be24e352d630017a643be,Comp_GapCatapult,356.6,256.4,obj2,0
5d0be24e352d630017a643be,Comp_GapCatapult,553.6,253.4,obj2,0
5d0be24e352d630017a643be,Comp_GapCatapult,199.6,476.4,obj3,0
